onset	duration	trial_type	block	audioOnset	audioDuration	audioOnsetIndex	eegOnsetIndex	word
11.021484375	1.501953125	StartReading	Overt	38.98628441742521	1.5030447391279487	1719314	5643	UKU
14.076171875	1.501953125	StartSaying	Overt	42.27831180260429	1.502523202898033	1864494	7207	UKU
17.173828125	1.501953125	StartReading	Overt	45.794486389205716	1.5016615343442599	2019559	8793	IFI
20.318359375	1.50390625	StartSaying	Overt	49.243337451171534	1.502613904851062	2171655	10403	IFI
23.806640625	1.501953125	StartReading	Overt	52.7352265898495	1.5016615343442599	2325649	12189	AFA
26.84375	1.50390625	StartSaying	Overt	55.79768733191278	1.5022284215506898	2460705	13744	AFA
30.203125	1.501953125	StartReading	Overt	58.98660927198642	1.502500527409776	2601338	15464	UMU
33.44921875	1.50390625	StartSaying	Overt	62.05607673992117	1.502613904851062	2736703	17126	UMU
36.771484375	1.501953125	StartReading	Overt	65.29551966783183	1.5027046068040908	2879564	18827	OFO
39.98828125	1.501953125	StartSaying	Overt	68.36124568020414	1.5022510970389469	3014764	20474	OFO
43.263671875	1.5	StartReading	Overt	71.85542504319608	1.5016388588560028	3168859	22151	OTO
46.5	1.5	StartSaying	Overt	75.30792685877131	1.5027272822923479	3321116	23808	OTO
49.771484375	1.5	StartReading	Overt	78.59319694844974	1.5015935078794884	3465998	25483	APA
53.107421875	1.501953125	StartSaying	Overt	81.88273002992054	1.5016842098325172	3611068	27191	APA
56.322265625	1.501953125	StartReading	Overt	85.22600401856089	1.5027046068040908	3758508	28837	URU
59.458984375	1.501953125	StartSaying	Overt	88.29846465094558	1.5025685538745477	3894005	30443	URU
62.529296875	1.5	StartReading	Overt	91.50450658465338	1.5015254814147168	4035393	32015	ANA
65.66015625	1.501953125	StartSaying	Overt	94.63175119666747	1.5017068853207742	4173306	33618	ANA
69.111328125	1.5	StartReading	Overt	98.09493316721183	1.5027272822923479	4326034	35385	ETE
72.2734375	1.50390625	StartSaying	Overt	101.12945770774225	1.5026819313158335	4459858	37004	ETE
93.681640625	1.50390625	StartReading	Inert	107.58194929523219	1.5015935078794884	4744416	47965	IRI
97.07421875	1.5	StartSaying	Inert	110.70629144474934	1.502024342156375	4882201	49702	IRI
100.142578125	1.5	StartReading	Inert	114.06233173327847	1.5027272822923479	5030204	51273	OTO
103.640625	1.501953125	StartSaying	Inert	117.4227710665295	1.502613904851062	5178401	53064	OTO
106.810546875	1.501953125	StartReading	Inert	120.76391355927366	1.501548156902974	5325747	54687	IPI
110.072265625	1.501953125	StartSaying	Inert	124.1012012190141	1.5021830705741754	5472923	56357	IPI
113.138671875	1.50390625	StartReading	Inert	127.440733752092	1.5025458783862904	5620198	57927	EKE
116.298828125	1.501953125	StartSaying	Inert	130.80926823465086	1.5014121039734307	5768752	59545	EKE
119.486328125	1.501953125	StartReading	Inert	133.90689865900103	1.5015708323912311	5905359	61177	IMI
122.654296875	1.50390625	StartSaying	Inert	137.32733733418058	1.5025912293628048	6056202	62799	IMI
126.12109375	1.501953125	StartReading	Inert	140.64036222148584	1.5017295608090315	6202308	64574	UJU
129.564453125	1.501953125	StartSaying	Inert	143.65441079612	1.5020016666681177	6335229	66337	UJU
133.076171875	1.501953125	StartReading	Inert	146.66907160893712	1.501548156902974	6468177	68135	AKA
136.08203125	1.50390625	StartSaying	Inert	149.79740464438754	1.501548156902974	6606138	69674	AKA
140.001953125	1.501953125	StartReading	Inert	153.24977040703322	1.5021603950859181	6758389	71681	AJA
143.037109375	1.501953125	StartSaying	Inert	156.59268158786145	1.5016161833677455	6905813	73235	AJA
146.443359375	1.501953125	StartReading	Inert	159.90854091119886	1.5016842098325172	7052044	74979	ASA
149.474609375	1.50390625	StartSaying	Inert	163.14782511069168	1.5025458783862904	7194898	76531	ASA
152.669921875	1.50390625	StartReading	Inert	166.20634031779824	1.5020696931328894	7329780	78167	EPE
155.96484375	1.501953125	StartSaying	Inert	169.56526039333602	1.5022284215506898	7477910	79854	EPE
395.294921875	1.505859375	StartReading	Overt	175.16522164882034	1.5027726332688622	7724871	202391	OMO
398.58984375	1.501953125	StartSaying	Overt	178.55114823087246	1.5015935078794884	7874192	204078	OMO
402.10546875	1.501953125	StartReading	Overt	181.59292892764515	1.5018202627620603	8008336	205878	IJI
405.5546875	1.50390625	StartSaying	Overt	185.0339796216505	1.5027953087571195	8160088	207644	IJI
409.046875	1.50390625	StartReading	Overt	188.20709674640887	1.5026592558275764	8300024	209432	ENE
412.111328125	1.501953125	StartSaying	Overt	191.65857816501253	1.5018656137385746	8452236	211001	ENE
415.30078125	1.501953125	StartReading	Overt	195.08600089057532	1.5025458783862904	8603387	212634	ULU
418.37109375	1.501953125	StartSaying	Overt	198.20236126822593	1.5022057460624325	8740820	214206	ULU
